时间,摄像头编号,追踪ID,类别名称,置信度,坐标X,坐标Y,框宽W,框高H,帧率,目标总数
2026-08-14 15:16:16,0,1,person,0.856,0,16,629,464,0.1,1
2026-08-14 15:16:16,0,1,person,0.820,3,20,512,460,5.4,1
2026-08-14 15:16:16,0,1,person,0.826,0,0,522,480,7.9,1
2026-08-14 15:16:16,0,1,person,0.826,0,0,522,480,9.3,0
2026-08-14 15:16:16,0,1,person,0.638,0,4,545,474,10.2,1
2026-08-14 15:16:16,0,1,person,0.694,10,3,496,477,10.8,1
2026-08-14 15:16:16,0,1,person,0.804,4,32,563,448,11.2,1
2026-08-14 15:16:17,0,1,person,0.818,8,40,623,440,11.4,1
2026-08-14 15:16:17,0,1,person,0.815,0,4,547,476,11.6,1
2026-08-14 15:16:17,0,1,person,0.815,0,4,547,476,11.7,0
2026-08-14 15:16:17,0,1,person,0.815,0,4,547,476,11.8,0
2026-08-14 15:16:17,0,1,person,0.587,15,2,489,478,11.9,1
2026-08-14 15:16:17,0,1,person,0.723,11,47,488,433,12.1,1
2026-08-14 15:16:17,0,1,person,0.789,0,6,513,473,12.1,1
2026-08-14 15:16:17,0,1,person,0.566,10,2,492,478,12.2,1
2026-08-14 15:16:17,0,1,person,0.777,7,34,498,446,12.2,1
2026-08-14 15:16:17,0,1,person,0.777,7,34,498,446,12.3,0
2026-08-14 15:16:17,0,1,person,0.814,0,31,508,449,12.4,1
2026-08-14 15:16:17,0,1,person,0.852,0,15,607,465,12.4,1
2026-08-14 15:16:17,0,1,person,0.924,0,28,639,452,12.4,1
2026-08-14 15:16:17,0,1,person,0.846,0,23,556,457,12.5,1
2026-08-14 15:16:18,0,1,person,0.871,1,20,501,460,12.5,1
2026-08-14 15:16:18,0,1,person,0.922,0,20,636,460,12.5,1
2026-08-14 15:16:18,0,1,person,0.920,0,22,639,458,12.5,1
2026-08-14 15:16:18,0,1,person,0.890,0,29,524,451,12.6,1
2026-08-14 15:16:18,0,1,person,0.938,0,18,640,462,12.6,1
2026-08-14 15:16:18,0,1,person,0.949,0,20,640,460,12.6,1
2026-08-14 15:16:18,0,1,person,0.942,0,15,640,465,12.7,1
2026-08-14 15:16:18,0,1,person,0.952,0,10,640,470,12.7,1
2026-08-14 15:16:18,0,1,person,0.957,0,18,640,462,12.7,1
2026-08-14 15:16:18,0,1,person,0.936,0,16,619,464,13.2,1
2026-08-14 15:16:18,0,1,person,0.949,0,22,640,458,13.3,1
2026-08-14 15:16:18,0,1,person,0.946,0,19,640,461,13.3,1
2026-08-14 15:16:18,0,1,person,0.950,0,20,640,460,13.3,1
2026-08-14 15:16:19,0,1,person,0.952,0,20,640,460,13.4,1
2026-08-14 15:16:19,0,1,person,0.954,0,21,640,459,13.4,1
2026-08-14 15:16:19,0,1,person,0.954,0,21,640,459,13.4,1
2026-08-14 15:16:19,0,1,person,0.956,0,20,640,460,13.4,1
2026-08-14 15:16:19,0,1,person,0.955,0,23,640,457,13.4,1
2026-08-14 15:16:19,0,1,person,0.955,0,21,640,459,13.4,1
2026-08-14 15:16:19,0,1,person,0.954,0,23,640,457,13.5,1
2026-08-14 15:16:19,0,1,person,0.950,0,24,640,456,13.5,1
2026-08-14 15:16:19,0,1,person,0.945,0,26,640,454,13.5,1
2026-08-14 15:16:19,0,1,person,0.951,0,25,640,455,13.5,1
2026-08-14 15:16:19,0,1,person,0.950,0,26,640,454,13.5,1
2026-08-14 15:16:19,0,1,person,0.942,0,26,640,454,13.5,1
2026-08-14 15:16:19,0,1,person,0.949,0,26,640,454,13.5,1
2026-08-14 15:16:20,0,1,person,0.954,0,27,640,453,13.4,1
2026-08-14 15:16:20,0,1,person,0.951,0,26,640,454,13.4,1
2026-08-14 15:16:20,0,1,person,0.948,0,26,640,454,13.4,1
2026-08-14 15:16:20,0,1,person,0.953,0,25,640,455,13.4,1
2026-08-14 15:16:20,0,1,person,0.954,0,26,640,454,13.4,1
2026-08-14 15:16:20,0,1,person,0.954,0,25,640,455,13.3,1
2026-08-14 15:16:20,0,1,person,0.947,0,27,640,453,13.3,1
2026-08-14 15:16:20,0,1,person,0.859,0,28,624,452,13.3,1
2026-08-14 15:16:20,0,1,person,0.891,0,29,635,451,13.2,1
2026-08-14 15:16:20,0,1,person,0.938,0,29,640,451,13.2,1
2026-08-14 15:16:20,0,1,person,0.905,0,30,635,450,13.1,1
2026-08-14 15:16:20,0,1,person,0.933,0,31,640,449,13.0,1
2026-08-14 15:16:20,0,1,person,0.928,0,31,640,449,13.0,1
2026-08-14 15:16:21,0,1,person,0.928,0,32,640,448,12.9,1
2026-08-14 15:16:21,0,1,person,0.936,0,32,640,448,12.9,1
